shridhar;dvadashi;G;;<a href="http://scsmath.com/events/calendar_events/08_RupaGoswami_GauriDasPandit.html">Disappearance of Srila Rupa Goswami and Srila Gauri Das Pandit Goswami.</a>;День ухода Шрилы Рупы Госвами. День ухода Шрилы Гауридаса Пандита Госвами.
shridhar;purnima;G;balarama-purnima;<a href="http://scsmath.com/events/calendar_events/08_Baladeva.html"><b>Appearance of Sri Baladev.</b></a> <b>Fast until noon.</b> End of Jhulan Yatra of Sri Sri Radha-Govinda.;<b>Явление Шри Баладева.</b>. <b>Пост до полудня</b>. Завершение Джхулан Ятры Шри Шри Радхи-Говинды.
hrishikesh;tritiya;K;madhusudan-maharaj-appearance;;День явления Шрилы Бхакти Ранджана Мадхусудана Махараджа.
hrishikesh;panchami;K;;<b> Disappearance of Tridandi Swami Bhakti Vilas Tapasvi Maharaj.</b>;День ухода Триданди Свами Бхакти Виласа Тапасви Махараджа.
hrishikesh;ashtami;K;janmashtami;<a href="http://scsmath.com/events/calendar_events/08_Janmastami.html"><b>Sri Sri Krishna Janmashtami.</b></a> <b>Complete fast until midnight,</b> then no grains.;<b>Шри Кришна Джанмаштами</b>. <b>Полный пост до полуночи</b>, затем экадашный прасад.
hrishikesh;navami;K;janmashtami-paran;<a href="http://scsmath.com/events/calendar_events/08_Nandotsav.html"><b>Sri Nandotsav.</b></a> Sri Janmashtami paran between %s and %s a.m. (in %s). <a href="http://scsmath.com/events/calendar_events/11_Swami_Prabhupad.html"><b>Appearance of Vishva-varenya Tridandi Swami Srimad Bhaktivedanta Swami Maharaj Prabhupad.</b></a>;<b>Шри Нандотсав</b>. Шри Джанмаштами паран %s — %s (в %s). День явления <b>Вишва-варенья Триданди Свами Шримад Бхактиведанты Свами Махараджа Прабхупады</b>. 
hrishikesh;panchami;G;;Appearance of <a href="http://scsmath.com/events/calendar_events/09_Sita_ConsortOfAdvaitaAcharya.html">Sri Sita Devi, the consort of Sri Advaita Prabhu</a>.;День явления Шри Ситы Деви, супруги Шри Адвайты Прабху.
hrishikesh;saptami;G;lalita-saptami;<a href="http://scsmath.com/events/calendar_events/08_LalitaSaptami.html"><b>Sri Lalita Saptami.</b></a> <strong>Appearance of Sri Lalita Devi.</strong>;<b>Шри Лалита Саптами.</b> Явление Шри Лалиты Деви.
hrishikesh;ashtami;G;radhashtami;<a href="http://scsmath.com/events/calendar_events/09_Sri_Radhastami.html"><b>Sri Radhashtami.</b></a> <strong>Srimati Radharani's appearance at noon.</strong> <b>Fast until noon.</b>;<b>Шри Радхаштами. Явление Шримати Радхарани в полдень. Пост до полудня</b>.
hrishikesh;dvadashi;G;vamana-dvadashi;<a href="http://scsmath.com/events/calendar_events/09_Vamana-Jiva-appearance.html"><strong>Appearance of Sri Vamanadev.</strong></a> <a href="http://scsmath.com/events/calendar_events/09_Vamana-Jiva-appearance.html"><strong>Appearance of Srila Jiva Goswami Prabhu.</strong></a>;Явление Шри Ваманадева. День явления <b>Шрилы Дживы Госвами Прабху</b>.
